Tabla;Campo;Índice;Tipo
rech0;ANO;INDEX_ANO;BIGINT(4)
rech0;HHID;INDEX_HHID;VARCHAR(15)
rech0;HV001;INDEX_HV001;VARCHAR(8)
rech0;HV002;INDEX_HV002;VARCHAR(4)
rech0;HV002A;INDEX_HV002A;VARCHAR(3)
rech1;ANO;INDEX_ANO;BIGINT(4)
rech1;HHID;INDEX_HHID;VARCHAR(15)
rech1;HVIDX;INDEX_HVIDX;VARCHAR(2)
rech4;ANO;INDEX_ANO;BIGINT(4)
rech4;HHID;INDEX_HHID;VARCHAR(15)
rech4;IDXH4;INDEX_IDXH4;VARCHAR(2)
rechm;ANO;INDEX_ANO;BIGINT(4)
rechm;HHID;INDEX_HHID;VARCHAR(15)
rech23;ANO;INDEX_ANO;BIGINT(4)
rech23;HHID;INDEX_HHID;VARCHAR(15)
rec91;ANO;INDEX_ANO;BIGINT(4)
rec91;CASEID;INDEX_CASEID;VARCHAR(18)
rec0111;ANO;INDEX_ANO;BIGINT(4)
rec0111;HHID;INDEX_HHID;VARCHAR(15)
rec0111;CASEID;INDEX_CASEID;VARCHAR(18)
rec0111;V001;INDEX_V001;VARCHAR(8)
rec0111;V002;INDEX_V002;VARCHAR(4)
rec0111;V003;INDEX_V003;VARCHAR(3)
re223132;ANO;INDEX_ANO;BIGINT(4)
re223132;CASEID;INDEX_CASEID;VARCHAR(18)
rec21;ANO;INDEX_ANO;BIGINT(4)
rec21;CASEID;INDEX_CASEID;VARCHAR(18)
rec21;BORD;INDEX_BORD;VARCHAR(2)
rec21;BIDX;INDEX_BIDX;VARCHAR(2)
rec41;ANO;INDEX_ANO;BIGINT(4)
rec41;CASEID;INDEX_CASEID;VARCHAR(18)
rec41;MIDX;INDEX_MIDX;VARCHAR(1)
rec94;ANO;INDEX_ANO;BIGINT(4)
rec94;CASEID;INDEX_CASEID;VARCHAR(18)
rec94;IDX94;INDEX_IDX94;VARCHAR(1)
rec42;ANO;INDEX_ANO;BIGINT(4)
rec42;CASEID;INDEX_CASEID;VARCHAR(18)
dit;ANO;INDEX_ANO;BIGINT(4)
dit;CASEID;INDEX_CASEID;VARCHAR(18)
dit;BIDX;INDEX_BIDX;VARCHAR(2)
dit;BORD;INDEX_BORD;VARCHAR(2)
rec43;ANO;INDEX_ANO;BIGINT(4)
rec43;CASEID;INDEX_CASEID;VARCHAR(18)
rec43;HIDX;INDEX_HIDX;VARCHAR(1)
rec95;ANO;INDEX_ANO;BIGINT(4)
rec95;CASEID;INDEX_CASEID;VARCHAR(18)
rec95;IDX95;INDEX_IDX95;VARCHAR(1)
RE516171;ANO;INDEX_ANO;BIGINT(4)
RE516171;CASEID;INDEX_CASEID;VARCHAR(18)
RE758081;ANO;INDEX_ANO;BIGINT(4)
RE758081;CASEID;INDEX_CASEID;VARCHAR(18)
REC82;ANO;INDEX_ANO;BIGINT(4)
REC82;CASEID;INDEX_CASEID;VARCHAR(18)
REC83;ANO;INDEX_ANO;BIGINT(4)
REC83;CASEID;INDEX_CASEID;VARCHAR(18)
REC84Dv;ANO;INDEX_ANO;BIGINT(4)
REC84Dv;CASEID;INDEX_CASEID;VARCHAR(18)
REC44;ANO;INDEX_ANO;BIGINT(4)
REC44;CASEID;INDEX_CASEID;VARCHAR(18)
REC44;HWIDX;INDEX_HWIDX;VARCHAR(1)
RECH5;ANO;INDEX_ANO;BIGINT(4)
