Campo;Descripcion
HV246;¿Algún_miembro_del_hogar_es_dueño_de_ganadería,_rebaños_o_animales_de_granja?
HV244;¿Algún_miembro_del_hogar_es_dueño_de_tierras_agrícolas?
SH48;¿Conserva_en_un_envase_o_recipiente_el_agua_para_beber?
HV226;¿Cuál_es_el_combustible_que_utilizan_más_frecuentemente_en_su_hogar_para_cocinar?
QS25AA;¿Cuál_es_el_idioma_o_lengua_materna_que_aprendió_hablar_en_su_niñez
QH25A;¿Cuál_es_su_nacionalidad?
HV245;¿Cuántas_hectáreas_de_tierras_agrícolas_le_pertenecen?
V207;¿Cuántas_hijas_han_muerto?
V205;¿Cuántas_hijas_no_están_viviendo_con_usted?
V203;¿Cuántas_hijas_viven_con_usted?
HV204;¿Cuánto_tiempo_se_demora_en_ir,_recoger_agua_y_volver?
V206;¿Cuántos_hijos_han_muerto?
V204;¿Cuántos_hijos_no_están_viviendo_con_usted?
V202;¿Cuántos_hijos_viven_con_usted?
HV103;¿Durmió_aquí_anoche?
HV225;¿El_servicio_higiénico_es_compartido_con_otros_hogares?
SH66;¿La_cocina_tiene_una_chimenea_o_un_mecanismo_para_eliminar_el_humo?
SH50;¿Lo_usa_con_tapa?
SH70;¿Qué_tipo_de_alumbrado_utiliza_el_hogar?
HV205;¿Qué_tipo_de_servicio_higiénico_tiene_su_hogar?
SH61Q;¿Tiene_acceso_a_Internet_en_casa?
SH61R;¿Tiene_bomba_de_agua?
SH61L;¿Tiene_cocina_de_gas?
SH61M;¿Tiene_cocina_de_kerosene?
SH61D;¿Tiene_cómoda/ropero?
SH61P;¿Tiene_computadora?
HV206;¿Tiene_electricidad_en_su_hogar?
SH61S;¿Tiene_generador_de_electricidad?
SH61O;¿Tiene_lavadora?
SH61K;¿Tiene_licuadora?
SH61N;¿Tiene_microondas?
SH61E;¿Tiene_reloj_de_pared?
SH61C;¿Tiene_repostero?
SH61A;¿Tiene_sofá?
SH61J;¿Tiene_televisión_por_cable?
HV243D;¿Tiene_un_bote_a_motor?
HV243C;¿Tiene_un_carreta_jalada_por_animales?
HV243A;¿Tiene_un_teléfono_móvil_(celular)?
SH61B;¿Tiene_vitrina/aparador?
SH63;¿Utiliza_otro_tipo_de_combustible_para_cocinar?
HV242;¿Utilizan_un_cuarto_especialmente_para_cocinar?
HV102;¿Vive_habitualmente_aquí?
S45D4Y;1er._Refuerzo_DPT_-_año
S45D4D;1er._Refuerzo_DPT_-_día
S45D4M;1er._Refuerzo_DPT_-_mes
S45P4Y;1er._Refuerzo_Polio_-_año
S45P4D;1er._Refuerzo_Polio_-_día
S45P4M;1er._Refuerzo_Polio_-_mes
S45D5Y;2do._Refuerzo_DPT_-_año
S45D5D;2do._Refuerzo_DPT_-_día
S45D5M;2do._Refuerzo_DPT_-_mes
S45P5Y;2do._Refuerzo_Polio_-_año
S45P5D;2do._Refuerzo_Polio_-_día
S45P5M;2do._Refuerzo_Polio_-_mes
D110E;A_causa_de_su_esposo/compañero_alguna_tuvo_que_ir_al_curandero,_huesero_u_otra_persona_por_algo_que_él_le_hizo
D110C;A_causa_de_su_esposo/compañero_alguna_vez__tuvo_que_ir_al_médico_o_centro_de_salud_por_algo_que_él_le_hizo
D110D;A_causa_de_su_esposo/compañero_alguna_vez__tuvo_una_herida,_hueso_roto,_y_dientes_rotos,_quemaduras
D110B;A_causa_de_su_esposo/compañero_alguna_vez_ha_tenido_lesiones_o_dislocaciones
D110A;A_causa_de_su_esposo/compañero_alguna_vez_tuvo_moretones_y/o_dolores
S485;A_oído/escuchado_de_la_prueba_del_papanicolao
V536;Actividad_sexual_reciente
V502;Actualmente,_antes_o_nunca_sacada
V406;Actualmente_abstinencia
V404;Actualmente_amamantando
V405;Actualmente_amenorreico
S111;Actualmente_asiste_a_la_escuela,_colegio,_instituto_o_universidad
V454;Actualmente_embarazada_(informe_del_hogar)
V714;Actualmente_se_encuentra_trabajando
QS500;Actualmente_tiene_tos_con_flema
V754WP;Adquiere_el_SIDA_compartiendo_comida_con_una_persona_que_tiene_el_virus
S229B1;Afiliada_a_seguro_de_salud_(seguro_integral)
S484;Afiliado_o_incorporado_al_programa_Juntos
V168;Afuera_más_de_un_mes_en_los_últimos_12_meses
QS704T;Ahora_hablemos_solo_de_las_molestias_o_problemas_que_tuvo_cuando_(en)
V155;Alfabetización
PS107_1S;Alguien_más_es_beneficiario
M62;Alguien_verificó_su_salud_antes_del_alta
HV210;Algún_miembro_de_su_hogar_¿tiene_bicleta/triciclo?
HV212;Algún_miembro_de_su_hogar_¿tiene_carro_o_camión?
HV211;Algún_miembro_de_su_hogar_¿tiene_motocileta/_motokar?
SH78;Algún_miembro_de_su_hogar_es_dueño_de_tierras_agricolas
QS100;Algun_profesional_le_ha_medido_la_Presión_Arterial
QD333_5;Alguna_dificultad_o_limitación_permanente_para_entender_o_aprender_(concentrarse_y_recordarse)
QD333_3;Alguna_dificultad_o_limitación_permanente_para_hablar_o_comunicarse,_aún_usando_la_lengua_de_señas_u_otro
QD333_4;Alguna_dificultad_o_limitación_permanente_para_moverse_o_caminar_para_usar_brazos_y/o_piernas
QD333_2;Alguna_dificultad_o_limitación_permanente_para_oir,_aún_usando_audífonos
QD333_6;Alguna_dificultad_o_limitación_permanente_para_relacionarse_con_los_demás,_por_sus_pensamientos,_sentimientos,_emociones_o_conductas
QD333_1;Alguna_dificultad_o_limitación_permanente_para_ver,_aún_usando_anteojos
QS25C5;Alguna_dificultad_para_entender_o_aprender_(concentrarse_y_recordarse)
QS25C3;Alguna_dificultad_para_hablar_o_comunicarse,_aún_usando_la_lengua_de_señas_u_otro
QS25C4;Alguna_dificultad_para_mover_o_caminar_para_usar_brazos_y/o_piernas
QS25C2;Alguna_dificultad_para_oír,_aún_usando_audífonos
QS25C6;Alguna_dificultad_para_relacionarse_con_los_demás,_por_sus_pensamientos,_sentimientos,_emociones_o_conductas
QS25C1;Alguna_dificultad_para_ver,_aún_usando_anteojos
QS803;Alguna_vez_ha_sido_atendido(a)_en_un_servicio_dental_por_un_odontólogo
QS311;Alguna_vez_ha_sido_atendido_en_servicio_dental_o_un_odontólogo
V305_08;Alguna_vez_ha_usado:_Abstinecia_periódica
V305_16;Alguna_vez_ha_usado:_Anticoncepción_oral_de_emergencia_(Píldora_del_día_siguiente)
V305_14;Alguna_vez_ha_usado:_Condón_femenino
V305_02;Alguna_vez_ha_usado:_DIU
V305_15;Alguna_vez_ha_usado:_Espuma,_jalea_óvulos_(métodos_vaginales)
V305_06;Alguna_vez_ha_usado:_Esterilizacion_femenina
V305_07;Alguna_vez_ha_usado:_Esterilizacion_masculina
V305_03;Alguna_vez_ha_usado:_Inyección_anticonceptiva
V305_13;Alguna_vez_ha_usado:_Método_de_lactancia_exclusiva_-_MELA
V305_11;Alguna_vez_ha_usado:_Norplant/Implantes
V305_10;Alguna_vez_ha_usado:_Otros_métodos
V305_01;Alguna_vez_ha_usado:_Píldora
V305_05;Alguna_vez_ha_usado:_Preservativo_condón
V305_09;Alguna_vez_ha_usado:_Retiro
D118XK;Alguna_vez_lastimado_físicamente_por:_CS
D128;Alguna_vez_le_dijo_a_alguien_sobre_la_violencia
V156;Alguna_vez_participó_en_un_programa_de_alfabetización_(no_incluyendo_la_escuela_primaria)
H41B;Alguna_vez_recibió_la_dosis_de_vitamina_A
V781;Alguna_vez_se_ha_hecho_la_prueba_para_saber_si_tiene_el_virus_que_causa_el_SIDA
H10;Alguna_vez_tuvo_vacunación
QS817;Alguna_vez_un_médico/otro_personal_de_salud_le_ha_evaluado_o_medido_la_vista_con_la_cartilla_Snellen_a_la_niña(o)
QS301;Alguna_vez_un_médico/personal_de_salud_le_ha_evaluado_o_medido_la_vista
QS411;Alguna_vez_un_médico/profesional_de_salud_le_ha_realizado_la_prueba_de_Papanicolaou
QS415;Alguna_vez_un_médico/profesional_de_salud_le_ha_realizado_un_examen_de_mamografía
QS409;Alguna_vez_un_médico/profesional_salud_le_ha_realizado_un_examen_físico_de_mama
V376A;Alguna_vez_usaría_algún_método
V302;Alguna_vez_usó_cualquier_método
D112;Alguna_vez_usted_pegó_o_maltrató_físicamente_a_su_esposo/compañero_cuando_no_la_estaba_golpeando_o_maltratando_físicamente
V040;Altitud_del_conglomerado_en_metros
HC3;Altura_en_centímetros_(1_dec.)
SH60;Antes_de_desechar_la_basura_donde_se_almacena?
V3A01;Antes_de_la_operación_de_esterilización_les_dijeron_que_no_podrían_tener_más_hijas(os)
M1A;Antes_del_embarazo_cuantas_dosis_de_la_vacuna_contra_el__tétano_recibió
S45MLY;Antiamarílica_año
S45MLD;Antiamarílica_día
S45MLM;Antiamarílica_mes
S45F1Y;Antihaemophilus_1ra._dosis_-_año
S45F1D;Antihaemophilus_1ra._dosis_-_día
S45F1M;Antihaemophilus_1ra._dosis_-_mes
S45F2Y;Antihaemophilus_2da._dosis_-_año
S45F2D;Antihaemophilus_2da._dosis_-_día
S45F2M;Antihaemophilus_2da._dosis_-_mes
S45F3Y;Antihaemophilus_3ra._dosis_-_año
S45F3D;Antihaemophilus_3ra._dosis_-_día
S45F3M;Antihaemophilus_3ra._dosis_-_mes
S45B1Y;Antihepatitis_B_1ra._dosis_-_año
S45B1D;Antihepatitis_B_1ra._dosis_-_día
S45B1M;Antihepatitis_B_1ra._dosis_-_mes
S45B2Y;Antihepatitis_B_2da._dosis_-_año
S45B2D;Antihepatitis_B_2da._dosis_-_día
S45B2M;Antihepatitis_B_2da._dosis_-_mes
S45B3Y;Antihepatitis_B_3ra._dosis_-_año
S45B3D;Antihepatitis_B_3ra._dosis_-_día
S45B3M;Antihepatitis_B_3ra._dosis_-_mes
S45B0Y;Antihepatitis_B_recién_nacido_año
S45B0D;Antihepatitis_B_recién_nacido_día
S45B0M;Antihepatitis_B_recién_nacido_mes
S45SP1Y;Antisarampionosa/SPR__1ra._dosis_-_año
S45SP1D;Antisarampionosa/SPR__1ra._dosis_-_día
S45SP1M;Antisarampionosa/SPR__1ra._dosis_-_mes
S45SP2Y;Antisarampionosa/SPR_2da._dosis_-_año
S45SP2D;Antisarampionosa/SPR_2da._dosis_-_día
S45SP2M;Antisarampionosa/SPR_2da._dosis_-_mes
QI_CTRL_ANIO.01;Año.01_-_CRED_menor_de_un_mes
V107;Año/grado_de_educación_más_alto_aprobado
S466YC1;Año_-_Control_1
S466YC2;Año_-_Control_2
S466YC3;Año_-_Control_3
S466YC4;Año_-_Control_4
S466YC5;Año_-_Control_5
V508;Año_-_Primer_matrimonio
Q465EC_Y1;Año_1ra_entrega_de_micronutrientes
Q645EC_Y2;Año_2da_entrega_de_micronutrientes
Q465EC_Y3;Año_3ra_entrega_de_micronutrientes
Q465EC_Y4;Año_4ta_entrega_de_micronutrientes
Q465EC_Y5;Año_5ta_entrega_de_micronutrientes
Q465EC_Y6;Año_6ta_entrega_de_micronutrientes
S432AY;Año_de_afiliación_seguro_de_salud_integral
ID1;Año_de_encuesta_formulario
QS25A;Año_de_estudios
V316;Año_de_inicio_del_uso_del_método
V007;Año_de_la_entrevista
MM15;Año_de_la_muerte_de_hermana
M1C;Año_de_la_última_inyección_contra_el_tétano_antes_del_embarazo
V241;Año_de_la_última_terminación_antes_del_calendario
V010;Año_de_nacimiento_de_la_entrevistada
HC31;Año_de_nacimiento_del_niño
QSINTY;Año_de_visita_final
ANO;Año_encuesta
QS802CA;Año_nacimiento_niño/niña
H2Y;Año_Vacuna_BCG
QS110C;Años/meses_diagnosticaron_Diabetes_o_azúcar_alta
QS103C;Años/meses_que_diagnosticaron_hipertensión_arterial_o_presión_arterial_alta
QS23;Años_cumplidos
V512;Años_desde_el_primer_matrimonio
V319;Años_desde_la_esterilización
S616;Aprueba,_desaprueba_que_parejas_usen_métodos_de_planificación_familiar
HV025;Área_de_residencia
QS24;Asistió_a_la_escuela
M57S;Atención_prenatal:_Casa_de_partera
M57F;Atención_prenatal:_Centro_de_salud_MINSA
M57P;Atención_prenatal:_Clínica/Posta_de_ONG
M57H;Atención_prenatal:_Clínica_móvil
M57N;Atención_prenatal:_Clínica_móvil_particular
M57Q;Atención_prenatal:_Hospital/Otro_de_la_Iglesia
M57L;Atención_prenatal:_Hospital/Otro_de_la_Municipalidad
M57I;Atención_prenatal:_Hospital_ESSALUD
M57J;Atención_prenatal:_Hospital_FF.AA._y_PNP
M57E;Atención_prenatal:_Hospital_MINSA
M57M;Atención_prenatal:_Hospital_privado/clínica
M57O;Atención_prenatal:_Médico_particular
M57X;Atención_prenatal:_Otro
M57R;Atención_prenatal:_Otros_privados
M57K;Atención_prenatal:_Policlínico/centro/posta_ESSALUD
M57G;Atención_prenatal:_Posta_médica_MINSA
V409A;Ayer_durante_el_dìa_o_la_noche_dio_agua_azucarada
V409;Ayer_durante_el_dìa_o_la_noche_dio_agua_sola_al_niño
V414R;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_alimento_azucarado_como_chocolates,_caramelos_u_otros
V414I;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_camote,_zanahorias,_zapallo
V414H2;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_carne_de_pollo,_pescado,_mariscos,_mondongo,_otras_carnes
V414H1;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_carne_de_res,_hígado,_otras_vísceras
V414H;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_carne_de_res,_pollo,_pescado,_mariscos,_otras_carnes,_hígado,_mondongo,_otras_vísceras
V412A;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_cereales_para_bebés
V414Q;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_comida_hecha_con_aceite,_grasas,_mantequilla,_productos_hechos_de_ellos
V414F;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_comida_hecha_de_tubérculos_o_raíces_(papas,_yuca,_olluco,_oca,_mashua)
V414J;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_cualquier_vegetal_de_hoja_verde_oscuro_(espinaca,_acelga_etc.)
V414C;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_frutas_secas
V414O;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_habas,_frijol,_lenteja,_soya,_pallares,_garbanzo,_arvejas
V414E;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_harina,_pan,_fideos,_galletas_u_cualquier_comida_hecha_de_cereales
V414G;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_huevos
V411A;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_leche_en_polvo_(NAM,_S26,_SIMILAC_etc.)
V411;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_leche_materna_refrigerada/conservada
V414K;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_mango,_papaya_aguaje_y_otras_frutas_de_vitamina_A
V414A;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_naranjas_mandarina,_lima,_maracuyá,_toronja
V412;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_otra_leche_fresca,_evaporada_o_en_polvo
V414L;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_otras_frutas_(plátano_de_isla,_plátano_de_seda,_maduro,_manzana,_palta_etc.)
V414S;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_otro_alimento_sólido-semisólido
