region;Nombre_region;ano;indice_objetivo;indice_real
0;Peru;2017;0.436;
0;Peru;2018;0.42;
0;Peru;2019;0.39;
0;Peru;2020;0.3;
0;Peru;2021;0.19;
0;Peru;2009;0;
0;Peru;2010;0;
0;Peru;2011;0;
0;Peru;2012;0;
0;Peru;2013;0;
0;Peru;2014;0;
0;Peru;2015;0;
0;Peru;2016;0;
1;Amazonas;2017;0.388;
2;Ancash;2017;0.366;
3;Apurimac;2017;0.465;
4;Arequipa;2017;0.387;
5;Ayacucho;2017;0.46;
6;Cajamarca;2017;0.273;
7;Callao;2017;0.381;
8;Cusco;2017;0.491;
9;Huancavelica;2017;0.503;
10;Huanuco;2017;0.425;
11;Ica;2017;0.357;
12;Junin;2017;0.508;
13;La Libertad;2017;0.33;
14;Lambayeque;2017;0.363;
15;Loreto;2017;0.528;
16;Madre de Dios;2017;0.506;
17;Moquegua;2017;0.36;
18;Pasco;2017;0.527;
19;Piura;2017;0.313;
20;Puno;2017;0.66;
21;San Martin;2017;0.42;
22;Tacna;2017;0.312;
23;Tumbes;2017;0.424;
24;Ucayali;2017;0.503;
25;Lima;2017;0.356;
1;Amazonas;2018;0.34;
2;Ancash;2018;0.328;
3;Apurimac;2018;0.407;
4;Arequipa;2018;0.339;
5;Ayacucho;2018;0.392;
6;Cajamarca;2018;0.243;
7;Callao;2018;0.334;
8;Cusco;2018;0.416;
9;Huancavelica;2018;0.424;
10;Huanuco;2018;0.379;
11;Ica;2018;0.313;
12;Junin;2018;0.466;
13;La Libertad;2018;0.275;
14;Lambayeque;2018;0.343;
15;Loreto;2018;0.462;
16;Madre de Dios;2018;0.456;
17;Moquegua;2018;0.33;
18;Pasco;2018;0.461;
19;Piura;2018;0.274;
20;Puno;2018;0.578;
21;San Martin;2018;0.368;
22;Tacna;2018;0.273;
23;Tumbes;2018;0.372;
24;Ucayali;2018;0.414;
25;Lima;2018;0.311;
1;Amazonas;2019;0.292;
2;Ancash;2019;0.29;
3;Apurimac;2019;0.35;
4;Arequipa;2019;0.291;
5;Ayacucho;2019;0.325;
6;Cajamarca;2019;0.213;
7;Callao;2019;0.286;
8;Cusco;2019;0.341;
9;Huancavelica;2019;0.36;
10;Huanuco;2019;0.332;
11;Ica;2019;0.269;
12;Junin;2019;0.424;
13;La Libertad;2019;0.235;
14;Lambayeque;2019;0.313;
15;Loreto;2019;0.397;
16;Madre de Dios;2019;0.384;
17;Moquegua;2019;0.29;
18;Pasco;2019;0.396;
19;Piura;2019;0.235;
20;Puno;2019;0.496;
21;San Martin;2019;0.316;
22;Tacna;2019;0.234;
23;Tumbes;2019;0.319;
24;Ucayali;2019;0.356;
25;Lima;2019;0.267;
1;Amazonas;2020;0.243;
2;Ancash;2020;0.251;
3;Apurimac;2020;0.292;
4;Arequipa;2020;0.243;
5;Ayacucho;2020;0.258;
6;Cajamarca;2020;0.183;
7;Callao;2020;0.239;
8;Cusco;2020;0.266;
9;Huancavelica;2020;0.306;
10;Huanuco;2020;0.284;
11;Ica;2020;0.224;
12;Junin;2020;0.382;
13;La Libertad;2020;0.2;
14;Lambayeque;2020;0.248;
15;Loreto;2020;0.331;
16;Madre de Dios;2020;0.284;
17;Moquegua;2020;0.24;
18;Pasco;2020;0.331;
19;Piura;2020;0.197;
20;Puno;2020;0.414;
21;San Martin;2020;0.264;
22;Tacna;2020;0.195;
23;Tumbes;2020;0.266;
24;Ucayali;2020;0.297;
25;Lima;2020;0.223;
1;Amazonas;2021;0.194;
2;Ancash;2021;0.212;
3;Apurimac;2021;0.233;
4;Arequipa;2021;0.194;
5;Ayacucho;2021;0.19;
6;Cajamarca;2021;0.153;
7;Callao;2021;0.191;
8;Cusco;2021;0.191;
9;Huancavelica;2021;0.233;
10;Huanuco;2021;0.235;
11;Ica;2021;0.179;
12;Junin;2021;0.339;
13;La Libertad;2021;0.16;
14;Lambayeque;2021;0.198;
15;Loreto;2021;0.265;
16;Madre de Dios;2021;0.2;
17;Moquegua;2021;0.19;
18;Pasco;2021;0.264;
19;Piura;2021;0.157;
20;Puno;2021;0.29;
21;San Martin;2021;0.21;
22;Tacna;2021;0.173;
23;Tumbes;2021;0.213;
24;Ucayali;2021;0.237;
25;Lima;2021;0.178;
1;Amazonas;2009;0;
2;Ancash;2009;0;
3;Apurimac;2009;0;
4;Arequipa;2009;0;
5;Ayacucho;2009;0;
6;Cajamarca;2009;0;
7;Callao;2009;0;
8;Cusco;2009;0;
9;Huancavelica;2009;0;
10;Huanuco;2009;0;
11;Ica;2009;0;
12;Junin;2009;0;
13;La Libertad;2009;0;
14;Lambayeque;2009;0;
15;Loreto;2009;0;
16;Madre de Dios;2009;0;
17;Moquegua;2009;0;
18;Pasco;2009;0;
19;Piura;2009;0;
20;Puno;2009;0;
21;San Martin;2009;0;
22;Tacna;2009;0;
23;Tumbes;2009;0;
24;Ucayali;2009;0;
25;Lima;2009;0;
1;Amazonas;2010;0;
2;Ancash;2010;0;
3;Apurimac;2010;0;
4;Arequipa;2010;0;
5;Ayacucho;2010;0;
6;Cajamarca;2010;0;
7;Callao;2010;0;
8;Cusco;2010;0;
9;Huancavelica;2010;0;
10;Huanuco;2010;0;
11;Ica;2010;0;
12;Junin;2010;0;
13;La Libertad;2010;0;
14;Lambayeque;2010;0;
15;Loreto;2010;0;
16;Madre de Dios;2010;0;
17;Moquegua;2010;0;
18;Pasco;2010;0;
19;Piura;2010;0;
20;Puno;2010;0;
21;San Martin;2010;0;
22;Tacna;2010;0;
23;Tumbes;2010;0;
24;Ucayali;2010;0;
25;Lima;2010;0;
1;Amazonas;2011;0;
2;Ancash;2011;0;
3;Apurimac;2011;0;
4;Arequipa;2011;0;
5;Ayacucho;2011;0;
6;Cajamarca;2011;0;
7;Callao;2011;0;
8;Cusco;2011;0;
9;Huancavelica;2011;0;
10;Huanuco;2011;0;
11;Ica;2011;0;
12;Junin;2011;0;
13;La Libertad;2011;0;
14;Lambayeque;2011;0;
15;Loreto;2011;0;
16;Madre de Dios;2011;0;
17;Moquegua;2011;0;
18;Pasco;2011;0;
19;Piura;2011;0;
20;Puno;2011;0;
21;San Martin;2011;0;
22;Tacna;2011;0;
23;Tumbes;2011;0;
24;Ucayali;2011;0;
25;Lima;2011;0;
1;Amazonas;2012;0;
2;Ancash;2012;0;
3;Apurimac;2012;0;
4;Arequipa;2012;0;
5;Ayacucho;2012;0;
6;Cajamarca;2012;0;
7;Callao;2012;0;
8;Cusco;2012;0;
9;Huancavelica;2012;0;
10;Huanuco;2012;0;
11;Ica;2012;0;
12;Junin;2012;0;
13;La Libertad;2012;0;
14;Lambayeque;2012;0;
15;Loreto;2012;0;
16;Madre de Dios;2012;0;
17;Moquegua;2012;0;
18;Pasco;2012;0;
19;Piura;2012;0;
20;Puno;2012;0;
21;San Martin;2012;0;
22;Tacna;2012;0;
23;Tumbes;2012;0;
24;Ucayali;2012;0;
25;Lima;2012;0;
1;Amazonas;2013;0;
2;Ancash;2013;0;
3;Apurimac;2013;0;
4;Arequipa;2013;0;
5;Ayacucho;2013;0;
6;Cajamarca;2013;0;
7;Callao;2013;0;
8;Cusco;2013;0;
9;Huancavelica;2013;0;
10;Huanuco;2013;0;
11;Ica;2013;0;
12;Junin;2013;0;
13;La Libertad;2013;0;
14;Lambayeque;2013;0;
15;Loreto;2013;0;
16;Madre de Dios;2013;0;
17;Moquegua;2013;0;
18;Pasco;2013;0;
19;Piura;2013;0;
20;Puno;2013;0;
21;San Martin;2013;0;
22;Tacna;2013;0;
23;Tumbes;2013;0;
24;Ucayali;2013;0;
25;Lima;2013;0;
1;Amazonas;2014;0;
2;Ancash;2014;0;
3;Apurimac;2014;0;
4;Arequipa;2014;0;
5;Ayacucho;2014;0;
6;Cajamarca;2014;0;
7;Callao;2014;0;
8;Cusco;2014;0;
9;Huancavelica;2014;0;
10;Huanuco;2014;0;
11;Ica;2014;0;
12;Junin;2014;0;
13;La Libertad;2014;0;
14;Lambayeque;2014;0;
15;Loreto;2014;0;
16;Madre de Dios;2014;0;
17;Moquegua;2014;0;
18;Pasco;2014;0;
19;Piura;2014;0;
20;Puno;2014;0;
21;San Martin;2014;0;
22;Tacna;2014;0;
23;Tumbes;2014;0;
24;Ucayali;2014;0;
25;Lima;2014;0;
1;Amazonas;2015;0;
2;Ancash;2015;0;
3;Apurimac;2015;0;
4;Arequipa;2015;0;
5;Ayacucho;2015;0;
6;Cajamarca;2015;0;
7;Callao;2015;0;
8;Cusco;2015;0;
9;Huancavelica;2015;0;
10;Huanuco;2015;0;
11;Ica;2015;0;
12;Junin;2015;0;
13;La Libertad;2015;0;
14;Lambayeque;2015;0;
15;Loreto;2015;0;
16;Madre de Dios;2015;0;
17;Moquegua;2015;0;
18;Pasco;2015;0;
19;Piura;2015;0;
20;Puno;2015;0;
21;San Martin;2015;0;
22;Tacna;2015;0;
23;Tumbes;2015;0;
24;Ucayali;2015;0;
25;Lima;2015;0;
1;Amazonas;2016;0;
2;Ancash;2016;0;
3;Apurimac;2016;0;
4;Arequipa;2016;0;
5;Ayacucho;2016;0;
6;Cajamarca;2016;0;
7;Callao;2016;0;
8;Cusco;2016;0;
9;Huancavelica;2016;0;
10;Huanuco;2016;0;
11;Ica;2016;0;
12;Junin;2016;0;
13;La Libertad;2016;0;
14;Lambayeque;2016;0;
15;Loreto;2016;0;
16;Madre de Dios;2016;0;
17;Moquegua;2016;0;
18;Pasco;2016;0;
19;Piura;2016;0;
20;Puno;2016;0;
21;San Martin;2016;0;
22;Tacna;2016;0;
23;Tumbes;2016;0;
24;Ucayali;2016;0;
25;Lima;2016;0;
25;Lima (city);2017;0.356;
25;Lima (city);2018;0.311;
25;Lima (city);2019;0.267;
25;Lima (city);2020;0.223;
25;Lima (city);2021;0.178;
25;Lima (city);2009;0;
25;Lima (city);2010;0;
25;Lima (city);2011;0;
25;Lima (city);2012;0;
25;Lima (city);2013;0;
25;Lima (city);2014;0;
25;Lima (city);2015;0;
25;Lima (city);2016;0;
