TABLA;CAMPO
RECH6;HC1
RECH6;HC2
RECH6;HC3
RECH6;HC27
RECH6;HC51
RECH6;HC53
RECH6;HC55
RECH6;HC56
RECH6;HC57
RECH6;HC60
RECH6;HC61
RECH6;HC62
RECH6;HC63
RECH6;HC64
RECH6;HC68
RECH6;HV005A
RECH6;ANO
RECH6;HHID
RECH6;HC0
RECH6;ID1
RECH4;SH11A
RECH4;SH11B
RECH4;SH11C
RECH4;SH11D
RECH4;SH11E
RECH4;SH11Y
RECH4;SH11Z
RECH4;ANO
RECH4;HHID
RECH4;IDXH4
RECH4;ID1
RECH23;HV201
RECH23;HV202
RECH23;HV204
RECH23;HV205
RECH23;HV206
RECH23;HV219
RECH23;SHREGION
RECH23;SHSEMES
RECH23;SHPROVIN
RECH23;SHDISTRI
RECH23;HV270
RECH23;HV271
RECH23;ANO
RECH23;HHID
RECH23;ID1
RECH23;HV237
RECH23;HV237A
RECH23;HV237B
RECH23;HV237C
RECH23;HV237D
RECH23;HV237E
RECH23;HV237F
RECH23;HV237G
RECH23;HV237H
RECH23;HV237I
RECH23;HV237J
RECH23;HV237K
RECH23;HV237X
RECH23;HV237Z
RECH1;ANO
RECH1;ID1
RECH1;HHID
RECH1;HVIDX
RECH1;HV102
RECH1;HV103
RECH1;HV104
RECH1;HV105
RECH1;HV109
RECH1;HV112
RECH1;HV114
RECH1;HV117
RECH1;HV120
RECH1;QH25A
RECH1;QH25B
RECH0;HV000
RECH0;HV001
RECH0;HV002
RECH0;HV002A
RECH0;HV003
RECH0;HV009
RECH0;HV010
RECH0;HV015
RECH0;HV023
RECH0;HV024
RECH0;HV025
RECH0;HV026
RECH0;HV042
RECH0;HV022
RECH0;HV005
RECH0;ANO
RECH0;HHID
RECH0;UBIGEO
RECH0;NCONGLOME
RECH0;CODCCPP
RECH0;NOMCCPP
RECH0;ID1
REC95;S45NM1
REC95;S45NM2
REC95;S45NM3
REC95;S45RT1
REC95;S45RT2
REC95;S466
REC95;S466C
REC95;ANO
REC95;CASEID
REC95;IDX95
REC95;ID1
REC95;S45VA3
REC95;S476AS7
REC95;S476AT7
REC95;S476AR7
REC95;S465EA
REC95;S465EB
REC95;S465EC
REC95;S465ED
REC95;S465DB_A
REC95;S465DB_B
REC95;S465DB_C
REC95;S465DB_D
REC95;S465DD_AR
REC95;S465DD_AC
REC95;S465DD_BR
REC95;S465DD_BC
REC95;S465DD_CR
REC95;S465DD_CC
REC95;S465DD_DR
REC95;S465DD_DC
REC95;Q452
REC95;Q465DF
REC95;Q465DH
REC95;Q465DJ
REC95;Q465EB_A8
REC95;Q465EC_A9
REC94;S425A
REC94;S432
REC94;S436C
REC94;QI422A_A
REC94;QI422A_B
REC94;QI422A_C
REC94;QI422A_D
REC94;QI440B
REC94;ANO
REC94;CASEID
REC94;IDX94
REC94;ID1
REC43;CASEID
REC43;HIDX
REC43;H11
REC43;H22
REC43;H31
REC43;H34
REC43;H41B
REC43;H42
REC43;ID1
REC41;M4
REC41;M5
REC41;M14
REC41;M18
REC41;M19
REC41;M19A
REC41;M42E
REC41;M45
REC41;M46
REC41;M70
REC41;M73
REC41;ANO
REC41;CASEID
REC41;MIDX
REC41;ID1
REC41;M17
REC41;M34
REC41;M35
REC41;M36
REC41;M54
REC21;BORD
REC21;B0
REC21;B4
REC21;B5
REC21;B8
REC21;Q220A
REC21;ANO
REC21;CASEID
REC21;BIDX
REC21;ID1
REC21;QULT5
REC0111;V001
REC0111;V002
REC0111;V003
REC0111;V012
REC0111;V023
REC0111;V024
REC0111;V025
REC0111;V040
REC0111;V042
REC0111;V102
REC0111;V106
REC0111;V113
REC0111;V116
REC0111;V119
REC0111;V136
REC0111;AWFACTT
REC0111;AWFACTU
REC0111;AWFACTR
REC0111;AWFACTE
REC0111;AWFACTW
REC0111;V155
REC0111;UBIGEO
REC0111;V022
REC0111;V005
REC0111;V190
REC0111;V191
REC0111;MUJERES12A49
REC0111;ANO
REC0111;CASEID
REC0111;HHID
REC0111;ID1
REC0111;NCONGLOME
RE223132;V201
RE223132;V202
RE223132;V208
RE223132;ANO
RE223132;CASEID
RE223132;HHID
PS_WAWAWASI;PS107_1A
PS_WAWAWASI;PS107_1M
PS_WAWAWASI;PS107_1S
PS_WAWAWASI;PS6
PS_WAWAWASI;ANO
PS_WAWAWASI;HHID
PS_WAWAWASI;HVIDX
PS_WAWAWASI;QHCLUSTER
PS_WAWAWASI;QHNUMBER
PS_WAWAWASI;QHHOME
PS_WAWAWASI;ID1
